Rank,Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active Cases,Critical
,,,,,,,,
,,,,,,,,
1,USA,"5,796,727",,"179,200",,"3,127,418","2,490,109","16,801"
,,,,,,,,
2,Brazil,"3,536,488",,"113,454",,"2,670,755","752,279","8,318"
,,,,,,,,
3,India,"2,979,562","+6,194","55,950",+22,"2,223,202","700,410","8,944"
,,,,,,,,
4,Russia,"946,976",,"16,189",,"761,330","169,457","2,300"
5,South Africa,"603,338",,"12,843",,"500,102","90,393",539
6,Peru,"576,067",,"27,245",,"384,908","163,914","1,530"
7,Mexico,"549,734","+5,928","59,610",+504,"376,409","113,715","3,518"
8,Colombia,"522,138",,"16,568",,"348,940","156,630","1,493"
9,Spain,"407,879",,"28,838",,N/A,N/A,541
10,Chile,"393,769",,"10,723",,"367,897","15,149","1,072"
11,Iran,"354,764",,"20,376",,"305,866","28,522","3,794"
12,Argentina,"329,043",,"6,730",,"239,806","82,507","1,853"
13,UK,"323,313",,"41,405",,N/A,N/A,76
14,Saudi Arabia,"305,186",,"3,580",,"277,067","24,539","1,675"
15,Pakistan,"292,174",+586,"6,231",+12,"275,317","10,626",731
16,Bangladesh,"290,360",,"3,861",,"172,615","113,884",
17,Italy,"257,065",,"35,427",,"204,960","16,678",69
18,Turkey,"255,723",,"6,080",,"235,569","14,074",749
19,France,"234,400",,"30,503",,"84,829","119,068",379
20,Germany,"233,021",,"9,328",,"208,950","14,743",236
21,Iraq,"197,085",,"6,283",,"140,446","50,356",587
22,Philippines,"182,365",,"2,940",,"114,519","64,906",717
23,Indonesia,"149,408",,"6,500",,"102,991","39,917",
24,Canada,"124,372",,"9,064",,"110,648","4,660",62
25,Qatar,"116,481",,193,,"113,216","3,072",66
26,Bolivia,"107,435","+1,370","4,366",+61,"42,141","60,928",71
27,Ecuador,"106,481",,"6,248",,"87,730","12,503",350
28,Kazakhstan,"104,313",+242,"1,415",,"89,712","13,186",221
29,Israel,"100,716",,809,,"77,785","22,122",390
30,Ukraine,"100,643",,"2,207",,"51,078","47,358",177
31,Egypt,"97,148",,"5,231",,"64,318","27,599",41
32,Dominican Republic,"89,867",,"1,533",,"59,132","29,202",287
33,Sweden,"86,068",,"5,810",,N/A,N/A,26
34,China,"84,939",+22,"4,634",,"79,851",454,20
35,Panama,"84,392",,"1,859",,"59,722","22,811",153
36,Oman,"83,769",,609,,"78,386","4,774",151
37,Belgium,"80,894",+716,"9,985",+9,"18,165","52,744",74
38,Kuwait,"79,269",,511,,"71,264","7,494",95
39,Romania,"76,355",,"3,196",,"34,523","38,636",489
40,Belarus,"70,111",,632,,"68,256","1,223",
41,Guatemala,"66,941",,"2,532",,"55,314","9,095",5
42,UAE,"66,193",,370,,"58,296","7,527",
43,Netherlands,"65,589",,"6,195",,N/A,N/A,56
44,Poland,"60,281",,"1,938",,"41,029","17,314",84
45,Japan,"59,721",,"1,155",,"46,467","12,099",243
46,Singapore,"56,216",,27,,"53,651","2,538",
47,Portugal,"55,211",,"1,792",,"40,473","12,946",41
48,Honduras,"53,381",+562,"1,632",+13,"8,271","43,478",48
49,Nigeria,"51,304",,996,,"37,885","12,423",7
